365	13	0	71	2
365	20	0	300	2
365	17	0	71	1024
365	19	0	0	16777218
365	19	4096	4096	16777218
365	19	4352	4352	16777218
365	19	4608	4608	16777218
365	19	4864	4864	16777218
365	19	5120	5120	16777218
365	19	5376	5376	16777218
365	19	5632	5632	16777218
365	19	5888	5888	16777218
365	19	6144	6144	16777218
365	19	6400	6400	16777218
365	19	6656	6656	16777218
365	19	6912	6927	16777218
365	19	7168	7172	16777218
365	19	7424	7428	16777218
365	19	7680	7686	16777218
365	19	7936	7948	16777218
365	19	8192	8203	16777218
365	19	8448	8453	16777218
365	19	8704	8714	16777218
365	19	8960	8965	16777218
365	19	9216	9219	16777218
365	19	9472	9489	16777218
365	19	9728	9767	16777218
365	19	9984	10002	16777218
365	19	10240	10255	16777218
365	19	10496	10528	16777218
365	19	10752	10827	16777218
365	19	11008	11019	16777218
365	19	11264	11279	16777218
365	19	11520	11521	16777218
365	19	11776	11780	16777218
365	19	12032	12036	16777218
365	19	12288	12293	16777218
365	19	12544	12553	16777218
365	19	12800	12805	16777218
365	19	13056	13057	16777218
365	19	13312	13332	16777218
365	19	13568	13573	16777218
365	19	13824	13841	16777218
365	19	14080	14090	16777218
365	19	14336	14345	16777218
365	19	14592	14616	16777218
365	19	14848	14850	16777218
365	19	15104	15122	16777218
365	19	15360	15386	16777218
365	19	15616	15627	16777218
365	19	15872	15875	16777218
365	19	16128	16158	16777218
365	19	16384	16385	16777218
365	19	16640	16642	16777218
365	19	16896	16897	16777218
365	19	17152	17153	16777218
365	19	17408	17414	16777218
365	19	17664	17671	16777218
365	19	17920	17928	16777218
365	19	18176	18184	16777218
365	19	18432	18446	16777218
365	19	18688	18689	16777218
365	19	18944	18946	16777218
365	19	19200	19202	16777218
365	19	19456	19465	16777218
365	19	19712	19713	16777218
365	19	19968	19970	16777218
365	19	20224	20239	16777218
365	19	20480	20482	16777218
365	19	20736	20737	16777218
365	19	20992	20995	16777218
365	19	21248	21259	16777218
365	19	21504	21513	16777218
365	19	21760	21763	16777218
1450	0	7	16	2
1450	3	0	264	10427462
1436	20	-1	-1	11239422
1436	23	-1	-1	11239422
1436	33	-1	-1	11239422
1436	36	-1	-1	11239422
1436	46	-1	-1	11239422
1436	49	-1	-1	11239422
1436	59	-1	-1	2098176
1436	62	-1	-1	2098176
1436	72	-1	-1	2098176
1436	75	-1	-1	2098176
1436	85	-1	-1	2098176
1436	88	-1	-1	2098176
1436	98	-1	-1	2098176
1436	101	-1	-1	2098176
1436	111	-1	-1	2098176
1436	114	-1	-1	2098176
1436	124	-1	-1	2098176
1436	127	-1	-1	2098176
1436	137	-1	-1	2098176
1436	140	-1	-1	2098176
1436	150	-1	-1	2098176
1436	153	-1	-1	2098176
1436	163	-1	-1	2098176
1436	166	-1	-1	2098176
1436	176	-1	-1	2098176
1436	179	-1	-1	2098176
1436	189	-1	-1	2098176
1436	192	-1	-1	2098176
1450	3	0	264	8592390
1436	10	-1	-1	1984
1436	9	-1	-1	1984
1436	8	-1	-1	0
1436	7	-1	-1	0
1844	0	-1	-1	2
1844	1	-1	-1	2
1841	9	0	18	2046
1843	183	0	5342	2046
1843	184	-1	-1	2
1843	184	0	19	60
1843	185	0	28	2
1311	559	0	11	2
1311	532	0	11	2
1311	556	0	11	2
1311	553	0	11	2
1311	512	1	1	2
1311	697	1	1	2
1311	512	4097	4097	2
1311	512	4353	4353	2
1311	512	4609	4609	2
1311	512	4865	4865	2
1311	512	5121	5121	2
1311	512	5377	5377	2
1311	512	5633	5633	2
1311	512	5889	5889	2
1311	512	6145	6145	2
1311	512	6401	6401	2
1311	512	6657	6657	2
1311	512	6913	6913	2
1311	512	7169	7169	2
1311	512	7425	7425	2
1311	512	7681	7681	2
1311	697	4097	4097	2
1311	697	4353	4353	2
1311	697	4609	4609	2
1311	697	4865	4865	2
1311	697	5121	5121	2
1311	697	5377	5377	2
1311	697	5633	5633	2
1311	697	5889	5889	2
1311	697	6145	6145	2
1311	697	6401	6401	2
1311	697	6657	6657	2
1311	697	6913	6913	2
1311	697	7169	7169	2
1311	697	7425	7425	2
1311	697	7681	7681	2
1311	371	0	10	2
